review,rating,
"Baguss lebih enak daripada wardah menurutku, cumaa aku belum merasa klop banget sama kulitku, dia melembabkan tapi untuk wajah nya cenderung oily kek aku kurang cocok sebenarnya, karena setelah beberapa jam wajah jadi kilang minyak",3,
"pertama beli krn kepo waktu itu lg hits sunscreen emina ini, murah harganyaa dan gampang ditemuin jugaa tp ternyata di aku bikin kusam setelah seharian beraktivitas. teksturnya enak gt ga lengket mungkin cocok buat anak2 sekolahan",3,
"Pernah coba pake ini, dia teksturnya itu kayak gel cream gitu warna nya putih susu, make sedikit aja uda bisa semua, ada wanginya si lumayan, cuman lama banget nyerepnya, dia bikin kesan muka kita jadi putih juga gais, harga nya lumayan murah juga, tapi aku sih mau coba yang lain dulu aja",4,
Hallo.. aku pakai sunscreen emina ini rasanya agak berminyak trus lama di blend hehe tunggu -+ 5 menit baru di tumpukin make up jadi agak lama. Trus pake emina ini gak cocok buat kulit sensitive cocok nya buat kuliah yang normal atau kombinasi hehehe,3,
"Sunscreen yang mudah di cari dengan harga terjangkau💙 Teksturnya kental dan agak lengket pas di aplikasikan, tapi lama lama bakal meresap dan gak buat wajah aku berminyak parah. Sudah 2 kali repurchased udah merasa cocok banget sama yang ini. Must Have Item!🥰",5,
"sun screen ini gampang banget di blend, gampang menyerap juga. hasilnya lumayan matte di aku, tapi aku gak terlalu suka sama sun screen ini, karena dia bikin aku bruntusan. aku mau coba sunscreen merk lain aja",3,
aku pake emina ini baru pertama kali. sebelumnya aku pake sunscreen wardah. bedanya sunscreen ini gampang banget diblend. terus di muka aku juga keliatan glowing gitu. gak terlalu keliatan oily juga. repurchase? insyaAllah iya,4,
"Awalnya beli gara-gara temen-temen pada make dan liat di guardian harganya murah. Teksturnya enak ga lengket dan ringan banget. Tapi gatau kenapa dimuka aku jadinya agak oily padahal kulit wajahku kering, terus bikin agak kusem+kucel.",3,
"nggak terlalu suka sama baunya yang super banget (nggak terlalu suka produk yg pake parfume sih... hehehe) beli karena kepepet urusan kantong dan pengen coba juga. eh bikin oily banget. dan susah nyerapnya, jadi kaya kilang minyak. paling nggak suka sama baunya. titik. hmmm",3,
"ini sunscreen bagus banget gak bikin kusam dan gak bikin berminyak banget tapi bikin lembab , bau nya juga gak terlalu menyengat banget , dan bagusnya dia bisa banget melindungi kulit dari matahari apalagi sekarang matahari nya terik banget jadi sunscreen ini cck banget dan gak berat buat keseharian ya",5,
"Gak bikin kusam setelah diaplikasikan. Wanginya kurang nyaman. Warnanya agak kekuningan. Beli buat dipake sehati hati. Gak bikim BO, lumayan melembabkan. Harganya murah juga, jadi pas dikantonh mahasiswa",4,
Awalnya aku pake yg wardah tp kata temen2 bagus emina soalnya gak bikin kileng2. Ternyata bener. Yg emina kaya lebih ringan jadi gak kileng2 tp kalau udah di pake lama juga bakal kileng2 sih kalau gak di set pake bedak. Yg paling aku suka adalah harganya yang super duper murah,5,
"Ini one of ma fav sunscreen deh, dia cepet ngeresapnya cuma emang di aku nggak terlalu nahan minyak, cuma sekali di set pake bedak udah beres, tapi lumayan nimbulin whitecast nggak tau kenapa. Lama kelamaan aku juga g cocok sama dia, wajah aku jadi beruntusan, akhirnya harus pindah kaluan deh.",4,
"Pemakaian biasa aja,tapi pas kelamaan malah berminyak,wajah aku udah oily ditambah berminyak karena pakai Suncreen ini jadi kaya ladang minyak.Kalo wajahku diperes ada kali 250ml wkwk,tapi kalo ada yang mau nyoba ya silahkan.Hasil berbeda-beda disetiap orang^^",1,
"Kurang suka sama produk ini, murah sih tapi pas dipake agak greasy padahal SPFnya cuma 30, apalagi kalau gak sempet pake bedak setelahnya huhu muka langsung minyakan banget. Terus tubenya juga bikin produknya gampang keluar jadi agak berantakan",3,
"Ini produk sunscreen pertama yang aku pakai, dia enak sih teksturnya ga yang bikin lengket di kulit aku harganya pun sangat terjangkau buat aku inj, wanginya juga enak. cuma yang aku kurang suka lama lama dia bikin kusem di wajah aku ini ....

",4,
"Awalnya dapet produk ini dikasih temen yang gak pernah pakai produknya, aku coba dan pas ajah gitu di muka aku. gak lengket, gampang menyerap dan suka aja. aku jga blm pernah coba-coba produk sunscreen yang lain sh jadi blom tahu klo nyobain yang lain lbh enak dimuka atau enggak. beli ini terus karena harganya pas dikantong hehe.",4,
"Pernah pakai punya teman karena iseng iseng aja ada sun screen... kemudian aku oles dikulit tangan sich nggak berminyak dan sepertinya dikulit aku cocok karena nggak merasakan efek gatel atau merah dikulit, dengan harga lumayan murah sich menurutku,, pokoknya dikulit terasa meresap gitu",5,
"pertama kali cobain produk ini bnr bnr seneng banget,dia ringan,bikin kulit jdi glowing,lembab,dan produk ini sama sekali ga bikin lengket,yg pasti harganya terjangkau,dan buat kalian yang blm coba kalian wajib coba,pokoknya the besttt lah",5,
"Produk ini harganya affordable, wanginya ga terlalu nyengat. Kalo di aku produk ini agak lama nyerepnya, terus abis dipake agak oily gitu. Teksturnya kaya lotion gitu, warna putih. Pas di abis dipake agak berat gitu diwajah, tapi kalo udah nyerep biasa aja.",4,
"Dulu suka banget make ss ini karna bikin lembab, tapi lama kelamaan nyadar kalo make ss ini kulit rasanya makin berminyak + kucel tapi aku terusin makenya dan akhirnya memutuskan buat stop make ss nya emina karna bener” bikin kulit ku berminyak banget dan akhirnya berpaling ke ss lain",3,
gk mempan sama sekalii:'( muka makin berminyak yg awalnya emng Berminyak pakek ini makin berminyak kek cuci muka pakek minyak jadian:'( baunya cukup nyengat bau alkohol mungkin? lalu bikin bruntusan+ jerawat..huaa sedih bgt:'( pdhl dah berharap bisa bagus:'( Ternyata gk sesuai ekspektasi,2,
"Harganya terjangkau dan gampang dicari. Teksturnya ringan, ngelembapin, ga lengket, cepat diserap kulit dan mudah diaplikasikan sayangnya nimbulin white cast dikit sih. Waktu dipakai agak lama jadi nambah berminyak :(",4,
"kemarin itu bingung mau nyari sunscreen apa, akhirnya aku coba Produk Emina karna harganya affordable... jadi klw misalnya GK cocok bisa tinggal buang wkwkwk, karna kulitku sensian banget modelnya, sekali GK cocok langsung bruntusan, akhirnya aku coba,dan alhamdulilah aman sentosa... selagi GK nimbulkan bruntusan sih oke2 aja menurutku...",5,
"nyaman dipake, harum jga. karna kulitku sensitif aku coba dipunggung tangan dlu . gaada reaksi apa2 , aku aplikasikan ke wajah ku . trus sehabis itu aku pakai sebelum memakai bedak . enak aja kok dipakai tapi sesuai kebutuhan aja",4,
"Tekstur cair seperti lotion mudah menyerap, tidak lengket dan ringan. Cocok bagi yang membutuhkan sunscreen dengan harga murah dan efektif. Wanginya juga enak. Kurang cocok bagi yang butuh perlindungan ekstra karena teksturnya ringan.",4,
"awal beli karena penasaran sih juga emang banyak yang bilang ini cukup bagus. bau nya menurut aku enak gatau kenapa. pas di apply gampang nyebar tapi dia ngebikin whitecast. pas lusanya, muka aku kok jadi gatel2 plus bruntusan. eh, pas diselidiki dia yg nyebabin bruntusan:( sayang sih, padahal harganya affordable.",2,
"gara2 kehabisan suncreen dan akhirnya coba emina sunscreen. sebenernya udah sering denger produk ini di review bagus dan ringan sekali, pertama sih agak underestimate bgt. tapi pas sekali coba emg bener produknya ringan bgt, cepet nyerap, dan enak bgt buat di pakai daily. cuman baunya agak sedikit ganggu but it's still good. aku recomm bgt emina sunscreen ini buat yg cari suncreen yg ringan buat di pakai daily ",5,
"Awalnya penasaran sama sunscreen emina soalnya ngaa cocok sama sunscreen wardah jadi coba ini dan langsung suka, kalau di pakai kaya ada sensasi cooling dan ngga meninggalkan whitecast. Senang banget cocok sm sunscreen yg harganya affordable!",5,
"awalnya aku dikasi ini sm kk krna di kulit dia ga cocok,trus setelah aku pakai emg bagus gt bikin lembab muka jg tp aku ngerasa ky panas setelah pke trs stlah make 1bulanan ini bikin muka aku kusem bgt,jd ngrasa ky kulit kbkr kukira bkl cocok dikulitku trnyata nggaaa huhuuu:((((",3,
"My 1st sunscreen🌞 First impression wanginya kayak ada pandannya gitu wkwk, teksturnya jg ringan, enak, adem dipake! Tp sayangnya agak bikin kusam huhu, but its ok bisa pakein bedak tabur. Di aku baru ada perubahan setelah dipake sekitar 1-2 minggu, dan belang dimukaku hilang dong😍 udah repurchase berkali-kali, dan belum mau berpaling soalnya udah cocok🥺

",5,
"Awalnya lihat2 di yutube, sunscreen apa yg cocok buat kulit oily, akhirnyaa lgsg kepincut sm Emina, trs coba deh. bener deh bagus, aku pake ini ga bruntus trs ga tambah oily gitu, juga bikin wajah nambah putih sesaat. kalo utk belang, karna aku suka pepanasan ttp aja belang si gais😂 overall bagus koo🥰",4,
"
pas pertama beli itu karena liat banyak yg review bagus dan recommend buat remaja, jadi aku beli. dia enak sih teksturnya, gampang nyerep di kulit dan spfnya cukup banget buat lindungin kulit. nah yg aku kurang suka itu baunya. nggak banget deh buat aku. karena aneh gitu. overall gudd",4,
"Punya kulit wajah yang oily tuh emang agak susah menurut aku memilih suatu produk yang cocok dikulit, bahkan yang dikhususkan untuk kulit oily aja kadang cocok kadang nggak. Emina Sun Protection dengan SPF 30 dan PA +++ klaimnya bisa ngebantu ngelindungin kulit dari sinar UV di hari yang aktif. Kemasannya tube gitu simple dan gampang di bawa kemana-mana, sunscreen ini juga ada ekstra aloe vera dan emollient. Teksturnya lembut, ringan dan pas diaplikasikan tuh ada sensasi dingin bikin seger gitu wanginya gak menyengat, enak aja gitu. Langsung aja di tap-tap pake ke muka terus diratain gitu, dikulit wajahku nunggu beberapa detik baru agak menyerap dan lumayan agak lengket juga huft, terus di skin tone ku jadi bikin kulit wajah agak gelap mungkin gak cocok dikulit wajah oily kali yah. Masih nyari-nyari sunscreen yang cocok untuk kulit wajah oily, any recommend sis?",3,
"Punya kulit wajah yang oily tuh emang agak susah menurut aku memilih suatu produk yang cocok dikulit, bahkan yang dikhususkan untuk kulit oily aja kadang cocok kadang nggak. Emina Sun Protection dengan SPF 30 dan PA +++ klaimnya bisa ngebantu ngelindungin kulit dari sinar UV di hari yang aktif. Kemasannya tube gitu simple dan gampang di bawa kemana-mana, sunscreen ini juga ada ekstra aloe vera dan emollient. Teksturnya lembut, ringan dan pas diaplikasikan tuh ada sensasi dingin bikin seger gitu wanginya gak menyengat, enak aja gitu. Langsung aja di tap-tap pake ke muka terus diratain gitu, dikulit wajahku nunggu beberapa detik baru agak menyerap dan lumayan agak lengket juga huft, terus di skin tone ku jadi bikin kulit wajah agak gelap mungkin gak cocok dikulit wajah oily kali yah. Masih nyari-nyari sunscreen yang cocok untuk kulit wajah oily, any recommend sis?",3,
"Emina Sun Protection SPF 30 PA+++ ini bener bener bagus buat remaja,aku udah dari dulu ga ganti ganti dan selalu purchase produk emina ini bisa dibilang ini produk andalan aku dari dulu.formula nya bener bener ringan,ga lengket dan enak banget pas dipake.Aroma dari produk ini juga enak lembut lembut gitu dan ga annoying ehehe.Pokoknya buat temen-temen yang baru mau coba cari skincare aku saranin banget buat coba sun protection emina ini karena kualitasnya yang bagus banget tapi harganya tetap ramah di kantong",5,
"teksturnya lumayan ringan trs waktu dipakai ada sensasi dinginnya gitu, enak.. tp waktu di apply aku ga terlalu suka gatau kenapa, trs jg kalau habis pakai ini ditimpa tone up cream yg ada malah berantakan semua,, jadi pada ngegumpal.. repurcase? gatau kayaknya bakal cari yg lain yg lebih cepet meresap dikulit drpd ini.. tp harganya oke bgt sih",3,
"teksturnya kaya lotion, cair gitu, tpi aku bingung sunscreen ini klo dipake setelah pelembap, pelembapnya ilang gegara tekstur sunscreen ini yg cair.kalo menurutku sih ngga begitu kelihatan efek makai produk ini,tpi gpp lah buat lindungin muka dikit"" hehe:v",4,
"Menurutku produk ini cocok bgt dipake usia remaja, harganya affordable dan teksturnya ringan tp rada oily jd kalo make ini harus hati-hati. Tapi so faar its good buat aku yg jenis kulitnya combi. Jng lupa buat re apply kalo make ini karena menurut aku gampang hilang juga kalo kena keringat",4,
aku gak suka baunya dan lengket dimukaku :( dan keliatan jadi oily banget gitu.. untuk harga sih emang terjangkau. waktu itu aku beli di shopee karena lagi diskon. tergoda karena diskon nih makanya beli.. kalo untuk repurchase sih aku enggak,3,
yang pertama aku suka wanginya dan packagingnya Tube yang gampang dibawa kemana mana juga gak gampang tumpah dan teksturnya cepat menyarp dikulit juga aku sering jadiin mousturizer pokoknya ini recomend buat kantong pelajar,4,
"Pertama kali coba sunscreen lihat2 riview dan akhirnya ku pilih emina ini. Aku sukaa wanginyaa. Cepet menyerap ga lengket tapi setelah beberapa minggu rutin penggunaan malah bikin kulitku kering. Kira2 ada yg sama ga? ;)

",3,
"kulit aku sensitif jadi kurang cocok sama sunscreen ini. wanginya kurang suka. dan ketika dipakai kemuka, muka ku jadi gampang iritasi. mungkin untuk selain kulit sensitif, ini cocok untuk kalian. katanya ini sunscreen yg rekomended sih…",2,
"aku pake ini dari jelas 3 SMA dan sekarang smt 2 kuliah kek ngerasa b aja dan ngerasa sering bruntusan karena ini sun protect pertama aku jadi aku gak berani nyoba nyoba yg lain, tapi cocog buat remaja yg baru nyoba apapun jenisnya sun protect pake aja soalnya itu penting buat muka",3,
"aku pake ini dari jelas 3 SMA dan sekarang smt 2 kuliah kek ngerasa b aja dan ngerasa sering bruntusan karena ini sun protect pertama aku jadi aku gak berani nyoba nyoba yg lain, tapi cocog buat remaja yg baru nyoba apapun jenisnya sun protect pake aja soalnya itu penting buat muka

",3,
sunscreen pertama aku sejak awal masuk kuliah. ini ringan bgt sih dan spfnya juga termasuk cukup buat ngelindungin muka dari sinar matahari. teksturnya lumayan cair gitu dan cepet bgt nyerapnya plus bisa jadi moisturizer. oke bgt sii harganya juga murah. recomended buat sehari2 pokonya buat sekola atau kuliah gituu,4,
"Kalo dimuka aku yang kadang suka breakout, berminyak, beruntusan dan jerawat kecil2, itu kurang cocok, soalnya teksturnya lengket dan cenderung bikin wajah nambah oily, ini sunscreen pertama aku tapi hasilnya ngga banget",1,
"Aku suka sama sunscreen ny karna lumayan enak di wajar aku yang kombinasi cenderung ke oily, sunscreen nya juga mengandung moisturizer sehingga aku aplikasiin di wajah... wajah aku itu jdi lembut banget dan harganya sangat terjangkau",3,
"Lumayan enak di pkai di wajah aku yng kombinasi , gk lengket sma skali dn nyerep gtu di muka. Tpi utk aku personal siih gk suka sama wanginya. Agk mengganggu tpi utk di pakai selingan dgn sunscreen aku dgn merek lain gpp. Hanya sja klo ada merek lain yng wanginya lebih enak aku akan brpaling. Tapi klo temen2 yng suka dgn produk2 beraroma buah bisa bgt di coba ☺️",3,
"Skintype wajahku berubah dr oily ke dry, trus sekarang jd normal tapi agak sensitif. Produk ini fine fine aja ga ninggalin bekas atau pun terlalu lengket. Lebih pekat daripada SS wardah jd lebih terasa ke protect aja gitu hehe.",4,
"Permisi heii! sunscreen murah tapi bagus bgt dengan spf 30+ cocok banget harganya buat kantong pelajar, aromanya juga enak banget seger² gitu, tekstur dadi sunscreen sendiri juga bagus gak cair kalo di pake gak lengket dah pokonya. Harga tetap murceee",4,
"awalnya penasaran aja sama produknya emina, kalo buat sunscreen kurang ngelindungin, hasilnya tetep belang. tapi kalo sebatas buat pelembab aja bagus sih, bahannya ringan kayaknya, ga bikin jerawatan atau semacamnya",3,
banyak banget yang suka sama produk ini tapi ngga work di aku. tiap pake ini muka selalu minyakan parah padahal tipe kulitku kering. engga banget hasilnya pas di timpa makeup. alhasil ga kepake dan aku jual ke temen soalnya masih banyak bangett,2,
"Emina SunScreen SPF 30 +++ ini menurut aku nyaman digunakan, wanginya enak, tidak terlalu cair, dan benar-benar melindungi wajah kita dari paparan sinar matahari. Harganya pun cukup murah sekitaran 20k-30k saja. Menurut aku, harganya pun juga masuk dikantong remaja. Tunggu apa lagi, buruan cobain",5,
"ini sebenernya bagus si cuma bikin berminyak si di aku mungkin karna type skin aku oily untuk harga juga murahlah kantong pelajar jadi ga aneh"" juga untuk ke sekolah aman..............................",4,
"suncreen pertama ku, emina itu brand anak remaja banget packagingya simple wanginya enak kaya vanila, awal apply emang agak lengket dan ada whitecastnya tapi lama-kelamaan nyatu sama kulit , kalau kalian belum pernah pakai suncreen dan mau coba-coba aku nyaranin pakai ini, harga murah tapi kualitas nya gak murahan kok.",4,
"Teksturnya ringan, ga berwarna, ga ada aroma apa-apa juga, di wajah tampilannya agak matte.. Tapi kurang yakin juga sebenernya bisa ngelindungin dengan baik atau engga karena sebelumnya pernah pake parasol dan emang lama-kelamaan muka ga kusam, tapi emina ini ga begitu terasa pengaruhnya",4,
"kurang cocok si di aku yg type kulit oily, bener bener semuka muka minyakan pake ini sedih banget:( mungkin kalo kalian yang type kulitnya kering kerontang cocok pake ini aku si gak ngerekomen buat yang oily:( karna emg bener bener minyakan semuka muka gengs",2,
dapett ini grgr dikampuss lg ada acara gt penasaran siii soalnya sunscreen skin aqua aku juga udah abiss pas dicoba ada baunyaa kaya bau aloe vera gtt jujur sebenernya gasuka pake skincare yg ada fragrance nya dan ternyata setelah pake dimuka bruntusan dan berminyak. sorry emina kita tidak berjodoh:(,1,
"awal make itu aku tadinya seneng2 aja pake produk ini, sampe bbrp minggu aku baru nyadar abis pake sunscreen ini muka aku jadi super berminyak dan jadi kusam :(( pemakaian ttp aku lanjutin, kupikir bakal membaik, tapi hasilnya malah bruntusan :(",2,
"sunscreen pertamaku pas awal pake skincare,udah repurchase 3 kali,dan baru sadar ternyata bikin kusem🙁, ga nahan minyak di aku,padahal harganya tergolong murah buat anak sekolah,ga repurchase lagi karena udah nemu yang lebih cocok",4,
"Awalnya aku penasaran banget sama sun protection punya emina karna harganya murah dan SPF 30 PA +++. setelah aku beberapa bulan pakai kurang puas karna dia ngebuat wajah aku keliatan berminyak dan di are hidung kayak ngelupas gitu. setiap pakai sun protection emina. dan setiap aplikasin ke wajah kayak kerasa celekit"" dingin gitu ternyata mengandung polyvinyl alcohol. dan saran jangan pernah aplikasin ke area mata itu bikin perih mata kita",4,
"Sun protection yang harganya affordable tapi kuakitasnya ga main2, tekstur nya ringan dan engga ninggalin whitecast sama sekali, untuk kalian pemula yang baru mau pakai sun screen wajib banget nyobain emina sun protection ini karna ini tuh emang bangus banget.",5,
"Ini ss pertama yang aku punya. Pengen coba ini karna harganya yang tergolong murah untuk aku yang masih anak sekolahan. Dimukaku ss ini bikin kusem, terus jadi minyakan juga. Abis dipake juga rasanya lengket jadi harus dipakein bedak. Sekarang ss ini jadi nganggur paling aku pake dikaki / tangan kalo lagi ga males aja",3,
"Sunscreen pertama aku yg emg bener"" cocok sama kulitku. Waktu awal pertama beli dan pake emg teksturnya lengket bgt dimuka trs lama ngeresepnya, kalo siang muka jadi berminyak bgt (emg kulitku tipe oily) dan jadi kusam kucel kumus bgt gitu. Akhirnya ya terpaksa aku pakai terus sampai abis soalnya sayang kalo dibuang, tp setelah rutin pakai aku kyk ngerasa udh cocok sama ini produk, setiap dipakai itu dia langsung meresap dan gak bikin oily dimukaku, seharian juga aku ngerasa kulitku bersih dan gak kusam lagi. Trus kalo aku gak pakai ini sunscreen, mukaku malah berminyak parah. Kayaknya sunscreen ini emg butuh waktu yg lama buat bisa cocok di kulitku. Aku udh habis 2 botol dan ini mau beli lagi, alhamdulillah sampai sekarang msh cocok. Repurchase? Yesss :)",5,
harganya affordable dan mudah ditemuin. dia gak nyerap di kulit jadi kerasa bgt ganjelnya. kalo udah agak lama makenya jd kayak ada timbunan minyak di muka aku. tapi overall bagus. repurchase? yes ofc,4,
"Ini tuh produk fav bgt deh. Aku suka wanginya enak kaya citrus gtu idk, but sayangnya produk ini tuh agak oily tapi klo biar gak oily setelah di pake ke muka tapi gapapa sih, untuk harga menurut aku sih cocok banget buat kantong remaja",5,
saya ngga suka produk ini karna menurut saya tekstur produk yang lengket dan ngga mudah menyerap ke kulit itu bikin ngga nyaman pas saya pakai apalagi wajah saya berminyak dan juga pas di pake saya merasa panas di kulit wajah saya padahal baru di pake beberapa kali produknya dan Udah ngga saya pakai lagi gara-gara itu sayang banget,2,
"pertama kali coba karna iseng iseng aja ngeliat temen beli produk ini. awalnya emng agak takut sih, cmn pas aku coba ternyata cocok, sampe sekarang aku pake. tapi kalo pakek ini jangn banyak banyak, sedikit juga cukup, soalnya bikin jdo oily banget guys, oke",4,
"DULU AKU BELI INI SEKALIAN BELI LIPTINT TRS KARNA WAKTU ITU BARU TAU SUNSCREEN AKHIRNYA NURUT” AJA PAKE EMINA DI KULIT AKU SIH JADINYA BRUNTUSAN JD KELIATAN BGTT KLO UDH SIANG JD KUMEL MUKA BERASA BERMINYAKK! DAN DIA BIKIN JERAWAT BATU GEDENYA NAUDZUBILLAH MAU NANGIS KLO DIINGET , REPURCHASE? OFC NO!!",3,
"Salah satu produk favoriteee bgtt. Karna produknya bagus dan ngefek banget di muka aku. Bahannya juga ringan. pas banget buat kulit remaja. Harganya juga sangat terjangkau, bisa di temuin dimana-mana. ga lupa juga packagingnya yang super kyut bgtt bisa di bawa kemana2. pokoknya selalu repurchase produk ini!",5,
"First, aku coba sunscreen ini krna lg butuh bgt, dan krna melihat bnyak good review jg, jdnya pengen coba barangkali cocok. aku baru pake 3x sih. Trnyata sunscreen ini udh mengandung emollient yg melembapkan kulit, jd kl di aku nggak perlu pake moisturizer sebelumnya krna bakal bikin kulit berminyak bgt. so biasanya abis pake ini aku lngsng pke loose powdernya marcks biar ga berminyak gitu keliatannya. dan aku baru tau juga kl trnyata sunscreen emina ini mengandung aloe vera. agak waswas sih jdnya, krna memang kulitku kurang cocok dgn kandungan itu. tp sejauh ini aku ga ngerasa purging atau apapun sih, paling bruntusan doang yg memang dari sebelum pake ini jg udh ada. mungkin nanti aku bakal edit lg kl pemakaian udh lebih dari ini ",3,
"sSelalu repurchase karena nyaman di muka dan nyaman di kantong. Yang aku suka ga bikin muka jadi abu-abu dan menyerap dengan cepat, walaupun kl ga pake bedak jadinya keliatan agak kusam tapi ga bikin kulit ku timbul masalah, overall sukaa",4,
"produk ini tuh bagus, apalagi buat remaka, ga mahal jadi gaakan bikin kantong jebol, dia bikin flash white, lembab dan gampang di apply. kalo kata ade aku enakuenn bgt. cuman sayangnya aku ga suka karna aku sensitif bau bauan, dan baunya khas sunscreen bgt gakuat aku agak mual nyiumnya, tapi yg lain bilang gaada baunya. so kalo kalian ga masalah sama bau produk mungkin akan suka dan tenang tenang aja sama produk ini.",3,
"Awal beli karena tergiur kata"" orang yg reviewnya bagus dan murah. Tapi pas aku udh beli dan pake, mukaku jadi bruntusan dan muncul jerawat"" besar. Untuk baunya juga agak gaenak. Dikulitku bikin muka jadi lebih kusam. Teksturnya enak sih trus mudah meresap.",3,
"Tekstur nya creamy banget, di aku emang pas beberapa menit pakai itu agak kusam tapi kalau dipakein bedak udah ngga terlihat kusam sih. Selama ini cocok dimuka ku, aku akan terus pakai ini belum ada niat ganti ke merk lain.

",4,
"aku bruntusan pake ini😩😩 gatau knp gapernah cocok sm skincare emina, sama sekali gaada yg cocok huhu, pasti ada aja bruntusan yg muncul. teksturnya lumayan thick buat yg mukanya oily, jadi aku juga agak menghindari dia karena cepet bgt bikin berminyaknya huhu",2,
